slurm id,learn_rate,learn_decay,gpu,iterations,clustering type,cluster wait,number of layers,dataset,conv type,hidden layer dims,k-proportional,k-number,nodes/cluster,1-stddev,avg time,1-avg peak train epoch,1-avg peak train acc,1-avg end train acc,1-avg test accuracy
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86, 1.0]]","[[7], [27, 7]]","[[400], [100, 400]]",0,44.45466170879081,89.0,0.808,0.797,0.797
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 1.0]]","[[27], [27, 7]]","[[100], [100, 400]]",0,42.53954109875485,198.0,0.774,0.774,0.774
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86, 3.86]]","[[7], [27, 27]]","[[400], [100, 100]]",0,64.13175190519542,138.0,0.791,0.773,0.774
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [0]]","[[27], [0]]","[[100], [0]]",0,1.744684038683772,181.0,0.799,0.784,0.784
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0]]","[[27], [7]]","[[100], [400]]",0,8.675973809324205,139.0,0.791,0.765,0.765
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 3.86]]","[[27], [27, 27]]","[[100], [100, 100]]",0,61.42613081401214,110.0,0.808,0.8,0.799
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86]]","[[27], [27]]","[[100], [100]]",0,30.19346122816205,21.0,0.816,0.809,0.809
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0, 1.0]]","[[27], [7, 7]]","[[100], [400, 400]]",0,11.960514847189188,146.0,0.797,0.789,0.789
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0, 3.86]]","[[27], [7, 27]]","[[100], [400, 100]]",0,37.6967712379992,156.0,0.811,0.799,0.799
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 1.0]]","[[27], [27, 7]]","[[100], [100, 400]]",0,38.157271071802825,164.0,0.798,0.791,0.791
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 3.86]]","[[27], [27, 27]]","[[100], [100, 100]]",0,55.84632061980665,152.0,0.812,0.787,0.787
